"MSDIAL_HexCer_EOS","[M+H]+","1","2","3","4","5","6","7"
"MSDIAL_HexCer 14:1;2O/36:1;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;BBCGUDFGKGEANR-WUHPQKATNA-N;C56H107NO10","954.79677","208.206","774.7334","792.744","954.7968","756.7228","196.206","226.2166"
"MSDIAL_HexCer 14:1;2O/36:2;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCC\C=C/CCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;UIYHTNOQIUDEPR-LQEOBNHRNA-N;C56H105NO10","952.78112","208.206","772.7177","790.7283","952.7811","754.7072","196.206","226.2166"
"MSDIAL_HexCer 14:1;2O/36:3;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCC\C=C/C=C\CCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;GCSQZUWFNIEAIT-DGWDGQSMNA-N;C56H103NO10","950.76547","208.206","770.7021","788.7126","950.7654","752.6915","196.206","226.2166"
"MSDIAL_HexCer 14:1;2O/36:4;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCCCCC\C=C/C=C\CCCCCOC(=O)CCCCCCC\C=C/CCCC;WWWGMPMFQDSLFM-YTPDJOTBNA-N;C56H101NO10","948.74982","208.206","768.6864","786.697","948.7498","750.6758","196.206","226.2166"
"MSDIAL_HexCer 14:1;2O/36:5;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCC\C=C/C\C=C/CCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCC;KXUGMNJNNPHFCK-RYNVXFBGNA-N;C56H99NO10","946.73417","208.206","766.6708","784.6813","946.7342","748.6602","196.206","226.2166"
"MSDIAL_HexCer 14:1;2O/37:1;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;WIAQDGOTTIIZQY-SYSTYOMDNA-N;C57H109NO10","968.81242","208.206","788.749","806.7596","968.8124","770.7385","196.206","226.2166"
"MSDIAL_HexCer 14:1;2O/37:2;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCC\C=C/CCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;QQIJWSBFTRHQQX-VDGSLWLYNA-N;C57H107NO10","966.79677","208.206","786.7334","804.744","966.7968","768.7228","196.206","226.2166"
"MSDIAL_HexCer 14:1;2O/37:3;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCC\C=C/CCCCCCCCCCCOC(=O)CCCCCCC\C=C/CCCC;ZCXGVXKMKGYKCF-ZTKCKARLNA-N;C57H105NO10","964.78112","208.206","784.7177","802.7283","964.7811","766.7072","196.206","226.2166"
"MSDIAL_HexCer 14:1;2O/37:4;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCCCCC\C=C/C=C\CCCCCOC(=O)CCCCCCC\C=C/CCCCC;BONSPEOWOZUCNZ-QDDJJDGENA-N;C57H103NO10","962.76547","208.206","782.7021","800.7126","962.7654","764.6915","196.206","226.2166"
"MSDIAL_HexCer 14:1;2O/37:5;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCC\C=C/C\C=C/CCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCCC;KDYZQDAZLIDUIF-QNQFBOSRNA-N;C57H101NO10","960.74982","208.206","780.6864","798.697","960.7498","762.6758","196.206","226.2166"
