"MSDIAL_Cer_EOS","[M+H]+","1","2","3","4","5","6"
"MSDIAL_Cer 14:1;2O/37:2;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCC\C=C/CCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;NAXQGELPRBDQMM-VDGSLWLYNA-N;C51H97NO5","804.74395","208.206","786.7334","768.7228","804.744","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/37:3;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(CO)NC(=O)CCCCCCCCC\C=C/CCCCCCCCCCCOC(=O)CCCCCCC\C=C/CCCC;ZDRJDQDGGIWFIF-ZTKCKARLNA-N;C51H95NO5","802.72830","208.206","784.7177","766.7072","802.7283","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/37:4;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(CO)NC(=O)CCCCCCCCCCCC\C=C/C=C\CCCCCOC(=O)CCCCCCC\C=C/CCCCC;VZOBNKDRUKRNLB-QDDJJDGENA-N;C51H93NO5","800.71265","208.206","782.7021","764.6915","800.7126","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/37:5;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(CO)NC(=O)CCCCCCCCC\C=C/C\C=C/CCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCCC;OETFZFYNCTXOGR-QNQFBOSRNA-N;C51H91NO5","798.69700","208.206","780.6864","762.6758","798.697","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/38:1;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;OCKGUHCFQDIQHK-NECFUIDXNA-N;C52H101NO5","820.77525","208.206","802.7647","784.7541","820.7753","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/38:2;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCC\C=C/CCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;CRXIGXODXPXKDE-ZDDCGZIENA-N;C52H99NO5","818.75960","208.206","800.749","782.7385","818.7596","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/38:3;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCC\C=C/C\C=C/CCCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;UFTWPCVKKOMWRR-UMEGFTMDNA-N;C52H97NO5","816.74395","208.206","798.7334","780.7228","816.744","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/38:4;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(CO)NC(=O)CCCCCCCCCCCCCCCC\C=C/C\C=C/CCOC(=O)CCCCCCC\C=C/CCCC;UFRHBGKPNPCLRY-QUQSJXBUNA-N;C52H95NO5","814.72830","208.206","796.7177","778.7072","814.7283","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/38:5;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(CO)NC(=O)CCCCCCCCCCCC\C=C/C=C\CCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCC;XTVQUQXWVJPCLL-DPDRLSQHNA-N;C52H93NO5","812.71265","208.206","794.7021","776.6915","812.7126","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/39:1;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;VQBYERSVWKNYPX-LYMKOHMFNA-N;C53H103NO5","834.79090","208.206","816.7803","798.7698","834.7909","196.206","226.2166"
