OxTG,[M+NH4]+,[M+H-nH2O]+,[M+H-nH2O2]+,[M+H-nH2O-R1COOH]+,[M+H-nH2O-R2COOH]+,[M+H-nH2O-R3COOH]+,[M+H-nH2O2-R1COOH]+,[M+H-nH2O2-R2COOH]+,[M+H-nH2O2-R3COOH]+
OxTG(18:0_18:3_18:2(OOH))+NH4,930.7757104,877.7280204,879.7436704,611.4670604,617.5139604,601.5190704,595.4721504,601.5190504,601.5190704
OxTG(18:0_18:4_20:4(OOH))+NH4,952.7600104,899.7123204,901.7279704,633.4513604,641.5139604,599.5033704,617.4564504,625.5190504,599.5033704
OxTG(18:0_18:4_18:2(OOH))+NH4,928.7600104,875.7123204,877.7279704,609.4513604,617.5139604,599.5033704,593.4564504,601.5190504,599.5033704
OxTG(18:0_20:4_20:4(OOH))+NH4,980.7913104,927.7436204,929.7592704,661.4826604,641.5139604,627.5346704,645.4877504,625.5190504,627.5346704
OxTG(18:0_20:4_18:2(OOH))+NH4,956.7913104,903.7436204,905.7592704,637.4826604,617.5139604,627.5346704,621.4877504,601.5190504,627.5346704
OxTG(18:0_20:5_20:4(OOH))+NH4,978.7757104,925.7280204,927.7436704,659.4670604,641.5139604,625.5190704,643.4721504,625.5190504,625.5190704
OxTG(18:0_20:5_18:2(OOH))+NH4,954.7757104,901.7280204,903.7436704,635.4670604,617.5139604,625.5190704,619.4721504,601.5190504,625.5190704
OxTG(18:0_22:5_20:4(OOH))+NH4,1006.80701,953.7593204,955.7749704,687.4983604,641.5139604,653.5503704,671.5034504,625.5190504,653.5503704
OxTG(18:0_22:5_18:2(OOH))+NH4,982.8070104,929.7593204,931.7749704,663.4983604,617.5139604,653.5503704,647.5034504,601.5190504,653.5503704
OxTG(18:0_22:6_20:4(OOH))+NH4,1004.79131,951.7436204,953.7592704,685.4826604,641.5139604,651.5346704,669.4877504,625.5190504,651.5346704
OxTG(18:0_22:6_18:2(OOH))+NH4,980.7913104,927.7436204,929.7592704,661.4826604,617.5139604,651.5346704,645.4877504,601.5190504,651.5346704
OxTG(18:1_18:1_20:4(OOH))+NH4,956.7914104,903.7437204,905.7593704,639.4983604,639.4983604,603.5347704,623.5034504,623.5034504,603.5347704
OxTG(18:1_18:1_18:2(OOH))+NH4,932.7914104,879.7437204,881.7593704,615.4983604,615.4983604,603.5347704,599.5034504,599.5034504,603.5347704
OxTG(18:1_18:2_20:4(OOH))+NH4,954.7757104,901.7280204,903.7436704,637.4826604,639.4983604,601.5190704,621.4877504,623.5034504,601.5190704
OxTG(18:1_18:2_18:2(OOH))+NH4,930.7757104,877.7280204,879.7436704,613.4826604,615.4983604,601.5190704,597.4877504,599.5034504,601.5190704
OxTG(18:1_18:3_20:4(OOH))+NH4,952.7601104,899.7124204,901.7280704,635.4670604,639.4983604,599.5034704,619.4721504,623.5034504,599.5034704
OxTG(18:1_18:3_18:2(OOH))+NH4,928.7601104,875.7124204,877.7280704,611.4670604,615.4983604,599.5034704,595.4721504,599.5034504,599.5034704
OxTG(18:1_18:4_20:4(OOH))+NH4,950.7444104,897.6967204,899.7123704,633.4513604,639.4983604,597.4877704,617.4564504,623.5034504,597.4877704
OxTG(18:1_18:4_18:2(OOH))+NH4,926.7444104,873.6967204,875.7123704,609.4513604,615.4983604,597.4877704,593.4564504,599.5034504,597.4877704
OxTG(18:1_20:4_20:4(OOH))+NH4,978.7757104,925.7280204,927.7436704,661.4826604,639.4983604,625.5190704,645.4877504,623.5034504,625.5190704
OxTG(18:1_20:4_18:2(OOH))+NH4,954.7757104,901.7280204,903.7436704,637.4826604,615.4983604,625.5190704,621.4877504,599.5034504,625.5190704
OxTG(18:1_20:5_20:4(OOH))+NH4,976.7601104,923.7124204,925.7280704,659.4670604,639.4983604,623.5034704,643.4721504,623.5034504,623.5034704
OxTG(18:1_20:5_18:2(OOH))+NH4,952.7601104,899.7124204,901.7280704,635.4670604,615.4983604,623.5034704,619.4721504,599.5034504,623.5034704
OxTG(18:1_22:5_20:4(OOH))+NH4,1004.79141,951.7437204,953.7593704,687.4983604,639.4983604,651.5347704,671.5034504,623.5034504,651.5347704
OxTG(18:1_22:5_18:2(OOH))+NH4,980.7914104,927.7437204,929.7593704,663.4983604,615.4983604,651.5347704,647.5034504,599.5034504,651.5347704
OxTG(18:1_22:6_20:4(OOH))+NH4,1002.77571,949.7280204,951.7436704,685.4826604,639.4983604,649.5190704,669.4877504,623.5034504,649.5190704
OxTG(18:1_22:6_18:2(OOH))+NH4,978.7757104,925.7280204,927.7436704,661.4826604,615.4983604,649.5190704,645.4877504,599.5034504,649.5190704
OxTG(18:2_18:2_20:4(OOH))+NH4,952.7600104,899.7123204,901.7279704,637.4826604,637.4826604,599.5033704,621.4877504,621.4877504,599.5033704
OxTG(18:2_18:2_18:2(OOH))+NH4,928.7600104,875.7123204,877.7279704,613.4826604,613.4826604,599.5033704,597.4877504,597.4877504,599.5033704
OxTG(18:2_18:3_20:4(OOH))+NH4,950.7444104,897.6967204,899.7123704,635.4670604,637.4826604,597.4877704,619.4721504,621.4877504,597.4877704
OxTG(18:2_18:3_18:2(OOH))+NH4,926.7444104,873.6967204,875.7123704,611.4670604,613.4826604,597.4877704,595.4721504,597.4877504,597.4877704
OxTG(18:2_18:4_20:4(OOH))+NH4,948.7287104,895.6810204,897.6966704,633.4513604,637.4826604,595.4720704,617.4564504,621.4877504,595.4720704
OxTG(18:2_18:4_18:2(OOH))+NH4,924.7287104,871.6810204,873.6966704,609.4513604,613.4826604,595.4720704,593.4564504,597.4877504,595.4720704
OxTG(18:2_20:4_20:4(OOH))+NH4,976.7600104,923.7123204,925.7279704,661.4826604,637.4826604,623.5033704,645.4877504,621.4877504,623.5033704
