"MSDIAL_OxPC","[M+CH3COO]-","1","2","3","4","5","6","7"
"MSDIAL_PC 18:0_20:3;3O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C(O)CC(O)C1\C=C\C(O)CCCCC;VUXINVFZDRMFRL-PIKMSLHQNA-N;C46H86NO11P","918.60770","844.5704","283.2635","317.2122","335.2228","918.6077","224.0693","353.2333"
"MSDIAL_PC 18:0_20:3;4O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C(O)CC(O)OC1\C=C\C(O)CCCCC;SMBUTZPQXYFACO-PIKMSLHQNA-N;C46H86NO12P","934.60262","860.5653","283.2635","934.6026","224.0693","333.2072","351.2177","369.2283"
"MSDIAL_PC 18:0_20:4;O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC(O)\C=C\C=C\C\C=C\C\C=C\CCCCC;DKEQTVJFXLFRHR-GCORPCAWNA-N;C46H84NO9P","884.60222","810.5649","283.2635","301.2173","884.6022","224.0693","319.2279","1"
"MSDIAL_PC 18:0_20:5;O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC1OC1\C=C/C=C\C=C\C\C=C\CCCCC;MRDITMYFLRJPEJ-LWTVRIGNNA-N;C46H82NO9P","882.58657","808.5493","283.2635","317.2122","882.5865","224.0693","1","1"
"MSDIAL_PC 18:0_20:4;2O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC(O)\C=C\C=C\C=C\C(O)C\C=C\CCCCC;OOWNQDRYRNLVMV-YVRTWIGUNA-N;C46H84NO10P","900.59714","317.2122","826.5598","283.2635","299.2017","335.2228","900.5972","224.0693"
"MSDIAL_PC 18:0_20:4;3O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC(O)C(O)\C=C/C=C\C=C\C=C/C(O)CCCCC;CIMALEANGJHSMV-MVFGQANJNA-N;C46H84NO11P","916.59205","842.5547","283.2635","315.1966","333.2072","916.592","224.0693","351.2177"
"MSDIAL_PC 18:0_20:4;3O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(O)CCCCC;AAEMEDLLCQTQMI-PIKMSLHQNA-N;C46H84NO11P","916.59205","842.5547","283.2635","916.592","224.0693","333.2072","351.2177","1"
"MSDIAL_PC 18:0_20:4;4O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C(O)CC(O)OC1\C=C\C(O)C\C=C/CC;ZUWVGRUQEMRXLJ-KKNZMDGONA-N;C46H84NO12P","932.58697","858.5496","283.2635","932.587","224.0693","331.1915","349.2021","367.2126"
"MSDIAL_PC 18:0_20:4;4O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(CCCCC)OO;RJVUPNGPMPSSRJ-PIKMSLHQNA-N;C46H84NO12P","932.58697","858.5496","283.2635","349.2021","331.1915","932.587","224.0693","367.2126"
"MSDIAL_PC 18:0_20:5;O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC(O)\C=C\C=C/C\C=C/C\C=C/C\C=C/CC;SFWUSRYKWBRXLR-WFHJQXGJNA-N;C46H82NO9P","882.58657","808.5493","283.2635","299.2017","882.5865","224.0693","317.2122","1"
