OxTG,[M+NH4]+,NL_R1COOH,NL_R2COOH,NL_R3COOH
OxTG(14:0_16:1_15:4(COOH))+NH4,802.6192104,557.3837364,531.3680364,521.4564764
OxTG(14:0_16:1_16:1(COOH))+NH4,822.6818104,577.4463364,551.4306364,521.4564764
OxTG(14:0_16:1_16:2(COOH))+NH4,820.6661604,575.4306864,549.4149864,521.4564764
OxTG(14:0_16:1_16:3(COOH))+NH4,818.6505104,573.4150364,547.3993364,521.4564764
OxTG(14:0_16:1_16:4(COOH))+NH4,816.6348604,571.3993864,545.3836864,521.4564764
OxTG(14:0_16:1_17:4(COOH))+NH4,830.6505104,585.4150364,559.3993364,521.4564764
OxTG(14:0_16:1_18:4(COOH))+NH4,844.6661604,599.4306864,573.4149864,521.4564764
OxTG(14:0_16:1_18:5(COOH))+NH4,842.6505104,597.4150364,571.3993364,521.4564764
OxTG(14:0_16:1_19:4(COOH))+NH4,858.6818104,613.4463364,587.4306364,521.4564764
OxTG(14:0_16:1_19:5(COOH))+NH4,856.6661604,611.4306864,585.4149864,521.4564764
OxTG(14:0_18:0_3:0(COOH))+NH4,672.5409004,427.3054264,371.2428264,551.5033764
OxTG(14:0_18:0_4:0(COOH))+NH4,686.5565504,441.3210764,385.2584764,551.5033764
OxTG(14:0_18:0_5:0(COOH))+NH4,700.5722004,455.3367264,399.2741264,551.5033764
OxTG(14:0_18:0_6:0(COOH))+NH4,714.5878504,469.3523764,413.2897764,551.5033764
OxTG(14:0_18:0_7:0(COOH))+NH4,728.6035004,483.3680264,427.3054264,551.5033764
OxTG(14:0_18:0_8:0(COOH))+NH4,742.6191504,497.3836764,441.3210764,551.5033764
OxTG(14:0_18:0_9:0(COOH))+NH4,756.6348004,511.3993264,455.3367264,551.5033764
OxTG(14:0_18:0_10:0(COOH))+NH4,770.6504504,525.4149764,469.3523764,551.5033764
OxTG(14:0_18:0_11:0(COOH))+NH4,784.6661004,539.4306264,483.3680264,551.5033764
OxTG(14:0_18:0_12:0(COOH))+NH4,798.6817504,553.4462764,497.3836764,551.5033764
OxTG(14:0_18:0_13:0(COOH))+NH4,812.6974004,567.4619264,511.3993264,551.5033764
OxTG(14:0_18:0_14:0(COOH))+NH4,826.7130504,581.4775764,525.4149764,551.5033764
OxTG(14:0_18:0_15:0(COOH))+NH4,840.7287004,595.4932264,539.4306264,551.5033764
OxTG(14:0_18:0_6:1(COOH))+NH4,712.5722104,467.3367364,411.2741364,551.5033764
OxTG(14:0_18:0_7:1(COOH))+NH4,726.5878604,481.3523864,425.2897864,551.5033764
OxTG(14:0_18:0_8:1(COOH))+NH4,740.6035104,495.3680364,439.3054364,551.5033764
OxTG(14:0_18:0_9:1(COOH))+NH4,754.6191604,509.3836864,453.3210864,551.5033764
OxTG(14:0_18:0_9:2(COOH))+NH4,752.6035104,507.3680364,451.3054364,551.5033764
OxTG(14:0_18:0_10:1(COOH))+NH4,768.6348104,523.3993364,467.3367364,551.5033764
OxTG(14:0_18:0_10:2(COOH))+NH4,766.6191604,521.3836864,465.3210864,551.5033764
OxTG(14:0_18:0_11:1(COOH))+NH4,782.6504604,537.4149864,481.3523864,551.5033764
OxTG(14:0_18:0_11:2(COOH))+NH4,780.6348104,535.3993364,479.3367364,551.5033764
OxTG(14:0_18:0_12:1(COOH))+NH4,796.6661104,551.4306364,495.3680364,551.5033764
OxTG(14:0_18:0_12:2(COOH))+NH4,794.6504604,549.4149864,493.3523864,551.5033764
OxTG(14:0_18:0_12:3(COOH))+NH4,792.6348104,547.3993364,491.3367364,551.5033764
OxTG(14:0_18:0_13:1(COOH))+NH4,810.6817604,565.4462864,509.3836864,551.5033764
OxTG(14:0_18:0_13:2(COOH))+NH4,808.6661104,563.4306364,507.3680364,551.5033764
OxTG(14:0_18:0_13:3(COOH))+NH4,806.6504604,561.4149864,505.3523864,551.5033764
OxTG(14:0_18:0_14:1(COOH))+NH4,824.6974104,579.4619364,523.3993364,551.5033764
OxTG(14:0_18:0_14:2(COOH))+NH4,822.6817604,577.4462864,521.3836864,551.5033764
OxTG(14:0_18:0_14:3(COOH))+NH4,820.6661104,575.4306364,519.3680364,551.5033764
OxTG(14:0_18:0_15:1(COOH))+NH4,838.7130604,593.4775864,537.4149864,551.5033764
OxTG(14:0_18:0_15:2(COOH))+NH4,836.6974104,591.4619364,535.3993364,551.5033764
OxTG(14:0_18:0_15:3(COOH))+NH4,834.6817604,589.4462864,533.3836864,551.5033764
OxTG(14:0_18:0_15:4(COOH))+NH4,832.6661104,587.4306364,531.3680364,551.5033764
OxTG(14:0_18:0_16:1(COOH))+NH4,852.7287104,607.4932364,551.4306364,551.5033764
OxTG(14:0_18:0_16:2(COOH))+NH4,850.7130604,605.4775864,549.4149864,551.5033764
OxTG(14:0_18:0_16:3(COOH))+NH4,848.6974104,603.4619364,547.3993364,551.5033764
OxTG(14:0_18:0_16:4(COOH))+NH4,846.6817604,601.4462864,545.3836864,551.5033764
OxTG(14:0_18:0_17:4(COOH))+NH4,860.6974104,615.4619364,559.3993364,551.5033764
OxTG(14:0_18:0_18:4(COOH))+NH4,874.7130604,629.4775864,573.4149864,551.5033764
OxTG(14:0_18:0_18:5(COOH))+NH4,872.6974104,627.4619364,571.3993364,551.5033764
OxTG(14:0_18:0_19:4(COOH))+NH4,888.7287104,643.4932364,587.4306364,551.5033764
OxTG(14:0_18:0_19:5(COOH))+NH4,886.7130604,641.4775864,585.4149864,551.5033764
OxTG(14:0_18:1_3:0(COOH))+NH4,670.5253004,425.2898264,371.2428264,549.4877764
OxTG(14:0_18:1_4:0(COOH))+NH4,684.5409504,439.3054764,385.2584764,549.4877764
OxTG(14:0_18:1_5:0(COOH))+NH4,698.5566004,453.3211264,399.2741264,549.4877764
OxTG(14:0_18:1_6:0(COOH))+NH4,712.5722504,467.3367764,413.2897764,549.4877764
OxTG(14:0_18:1_7:0(COOH))+NH4,726.5879004,481.3524264,427.3054264,549.4877764
OxTG(14:0_18:1_8:0(COOH))+NH4,740.6035504,495.3680764,441.3210764,549.4877764
OxTG(14:0_18:1_9:0(COOH))+NH4,754.6192004,509.3837264,455.3367264,549.4877764
OxTG(14:0_18:1_10:0(COOH))+NH4,768.6348504,523.3993764,469.3523764,549.4877764
OxTG(14:0_18:1_11:0(COOH))+NH4,782.6505004,537.4150264,483.3680264,549.4877764
OxTG(14:0_18:1_12:0(COOH))+NH4,796.6661504,551.4306764,497.3836764,549.4877764
OxTG(14:0_18:1_13:0(COOH))+NH4,810.6818004,565.4463264,511.3993264,549.4877764
OxTG(14:0_18:1_14:0(COOH))+NH4,824.6974504,579.4619764,525.4149764,549.4877764
