"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PG","[M+NH4]+","NL Head","NL_head&H2O","RT_min","RT_max","Comment","RT at Max Intensity","PG","[M+NH4]+","NL Head","NL_head&H2O","RT_min","RT_max","Comment","Number of Scans","PG","[M+NH4]+","NL Head","NL_head&H2O","RT_min","RT_max","Comment","Max Intensity","PG","[M+NH4]+","NL Head","NL_head&H2O","RT_min","RT_max","Comment","Average m/z","PG","[M+NH4]+","NL Head","NL_head&H2O","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PG","[M+NH4]+","NL Head","NL_head&H2O","RT_min","RT_max","Comment"
"","PG(38:5)+NH4",0,0,0,"4.12318888888889","4.42318888888889","6221","","PG(38:5)+NH4",0,0,0,"4.12318888888889","4.42318888888889","6221","","PG(38:5)+NH4",0,0,0,"4.12318888888889","4.42318888888889","6221","","PG(38:5)+NH4",0,0,0,"4.12318888888889","4.42318888888889","6221","","PG(38:5)+NH4",0,0,0,"4.12318888888889","4.42318888888889","6221","","PG(38:5)+NH4","814.55936","643.55346","625.519127","4.12318888888889","4.42318888888889","6221"
"","PG(38:5)+NH4",0,0,0,"3.10427638888889","3.40427638888889","8057","","PG(38:5)+NH4",0,0,0,"3.10427638888889","3.40427638888889","8057","","PG(38:5)+NH4",0,0,0,"3.10427638888889","3.40427638888889","8057","","PG(38:5)+NH4",0,0,0,"3.10427638888889","3.40427638888889","8057","","PG(38:5)+NH4",0,0,0,"3.10427638888889","3.40427638888889","8057","","PG(38:5)+NH4","814.55936","643.55346","625.519127","3.10427638888889","3.40427638888889","8057"
"","PG(38:5)+NH4",0,0,0,"3.79138333333333","4.09138333333333","8066","","PG(38:5)+NH4",0,0,0,"3.79138333333333","4.09138333333333","8066","","PG(38:5)+NH4",0,0,0,"3.79138333333333","4.09138333333333","8066","","PG(38:5)+NH4",0,0,0,"3.79138333333333","4.09138333333333","8066","","PG(38:5)+NH4",0,0,0,"3.79138333333333","4.09138333333333","8066","","PG(38:5)+NH4","814.55936","643.55346","625.519127","3.79138333333333","4.09138333333333","8066"
"","PG(38:5)+NH4",0,0,0,"3.39136944444444","3.69136944444444","8265","","PG(38:5)+NH4",0,0,0,"3.39136944444444","3.69136944444444","8265","","PG(38:5)+NH4",0,0,0,"3.39136944444444","3.69136944444444","8265","","PG(38:5)+NH4",0,0,0,"3.39136944444444","3.69136944444444","8265","","PG(38:5)+NH4",0,0,0,"3.39136944444444","3.69136944444444","8265","","PG(38:5)+NH4","814.55936","643.55346","625.519127","3.39136944444444","3.69136944444444","8265"
"","PG(38:5)+NH4",0,0,0,"4.12585277777778","4.42585277777778","13405","","PG(38:5)+NH4",0,0,0,"4.12585277777778","4.42585277777778","13405","","PG(38:5)+NH4",0,0,0,"4.12585277777778","4.42585277777778","13405","","PG(38:5)+NH4",0,0,0,"4.12585277777778","4.42585277777778","13405","","PG(38:5)+NH4",0,0,0,"4.12585277777778","4.42585277777778","13405","","PG(38:5)+NH4","814.55936","643.55346","625.519127","4.12585277777778","4.42585277777778","13405"
"","PG(38:5)+NH4",0,0,0,"1.83709444444444","2.13709444444444","15859","","PG(38:5)+NH4",0,0,0,"1.83709444444444","2.13709444444444","15859","","PG(38:5)+NH4",0,0,0,"1.83709444444444","2.13709444444444","15859","","PG(38:5)+NH4",0,0,0,"1.83709444444444","2.13709444444444","15859","","PG(38:5)+NH4",0,0,0,"1.83709444444444","2.13709444444444","15859","","PG(38:5)+NH4","814.55936","643.55346","625.519127","1.83709444444444","2.13709444444444","15859"
"","PG(38:6)+NH4",0,0,0,"1.86782083333333","2.16782083333333","11159","","PG(38:6)+NH4",0,0,0,"1.86782083333333","2.16782083333333","11159","","PG(38:6)+NH4",0,0,0,"1.86782083333333","2.16782083333333","11159","","PG(38:6)+NH4",0,0,0,"1.86782083333333","2.16782083333333","11159","","PG(38:6)+NH4",0,0,0,"1.86782083333333","2.16782083333333","11159","","PG(38:6)+NH4","812.54366","641.53776","623.503427","1.86782083333333","2.16782083333333","11159"
"","PG(39:6)+NH4",0,0,0,"7.04686805555556","7.34686805555556","2224","","PG(39:6)+NH4",0,0,0,"7.04686805555556","7.34686805555556","2224","","PG(39:6)+NH4",0,0,0,"7.04686805555556","7.34686805555556","2224","","PG(39:6)+NH4",0,0,0,"7.04686805555556","7.34686805555556","2224","","PG(39:6)+NH4",0,0,0,"7.04686805555556","7.34686805555556","2224","","PG(39:6)+NH4","826.55936","655.55346","637.519127","7.04686805555556","7.34686805555556","2224"
"","PG(40:0)+NH4",0,0,0,"7.81433472222222","8.11433472222222","5309","","PG(40:0)+NH4",0,0,0,"7.81433472222222","8.11433472222222","5309","","PG(40:0)+NH4",0,0,0,"7.81433472222222","8.11433472222222","5309","","PG(40:0)+NH4",0,0,0,"7.81433472222222","8.11433472222222","5309","","PG(40:0)+NH4",0,0,0,"7.81433472222222","8.11433472222222","5309","","PG(40:0)+NH4","852.66886","681.66296","663.628627","7.81433472222222","8.11433472222222","5309"
"","PG(40:5)+NH4",0,0,0,"5.47872777777778","5.77872777777778","5746","","PG(40:5)+NH4",0,0,0,"5.47872777777778","5.77872777777778","5746","","PG(40:5)+NH4",0,0,0,"5.47872777777778","5.77872777777778","5746","","PG(40:5)+NH4",0,0,0,"5.47872777777778","5.77872777777778","5746","","PG(40:5)+NH4",0,0,0,"5.47872777777778","5.77872777777778","5746","","PG(40:5)+NH4","842.59066","671.58476","653.550427","5.47872777777778","5.77872777777778","5746"
