"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","DGTS","[M+H]+","C10H21NO5H","C7H14NO2","RT_min","RT_max","Comment","RT at Max Intensity","DGTS","[M+H]+","C10H21NO5H","C7H14NO2","RT_min","RT_max","Comment","Number of Scans","DGTS","[M+H]+","C10H21NO5H","C7H14NO2","RT_min","RT_max","Comment","Max Intensity","DGTS","[M+H]+","C10H21NO5H","C7H14NO2","RT_min","RT_max","Comment","Average m/z","DGTS","[M+H]+","C10H21NO5H","C7H14NO2","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","DGTS","[M+H]+","C10H21NO5H","C7H14NO2","RT_min","RT_max","Comment"
"","DGTS(38:0)+H",0,0,0,"11.4310680555556","11.7310680555556","7853","","DGTS(38:0)+H",0,0,0,"11.4310680555556","11.7310680555556","7853","","DGTS(38:0)+H",0,0,0,"11.4310680555556","11.7310680555556","7853","","DGTS(38:0)+H",0,0,0,"11.4310680555556","11.7310680555556","7853","","DGTS(38:0)+H",0,0,0,"11.4310680555556","11.7310680555556","7853","","DGTS(38:0)+H","796.7025","236.1492","144.1019","11.4310680555556","11.7310680555556","7853"
"","DGTS(38:1)+H",0,0,0,"10.6725680555556","10.9725680555556","2909","","DGTS(38:1)+H",0,0,0,"10.6725680555556","10.9725680555556","2909","","DGTS(38:1)+H",0,0,0,"10.6725680555556","10.9725680555556","2909","","DGTS(38:1)+H",0,0,0,"10.6725680555556","10.9725680555556","2909","","DGTS(38:1)+H",0,0,0,"10.6725680555556","10.9725680555556","2909","","DGTS(38:1)+H","794.6868","236.1492","144.1019","10.6725680555556","10.9725680555556","2909"
"","DGTS(38:1)+H",0,0,0,"9.8586583333333","10.1586583333333","5184","","DGTS(38:1)+H",0,0,0,"9.8586583333333","10.1586583333333","5184","","DGTS(38:1)+H",0,0,0,"9.8586583333333","10.1586583333333","5184","","DGTS(38:1)+H",0,0,0,"9.8586583333333","10.1586583333333","5184","","DGTS(38:1)+H",0,0,0,"9.8586583333333","10.1586583333333","5184","","DGTS(38:1)+H","794.6868","236.1492","144.1019","9.8586583333333","10.1586583333333","5184"
"","DGTS(38:2)+H",0,0,0,"9.8972513888889","10.1972513888889","3953","","DGTS(38:2)+H",0,0,0,"9.8972513888889","10.1972513888889","3953","","DGTS(38:2)+H",0,0,0,"9.8972513888889","10.1972513888889","3953","","DGTS(38:2)+H",0,0,0,"9.8972513888889","10.1972513888889","3953","","DGTS(38:2)+H",0,0,0,"9.8972513888889","10.1972513888889","3953","","DGTS(38:2)+H","792.6712","236.1492","144.1019","9.8972513888889","10.1972513888889","3953"
"","DGTS(38:2)+H",0,0,0,"9.67366666666667","9.97366666666667","4318","","DGTS(38:2)+H",0,0,0,"9.67366666666667","9.97366666666667","4318","","DGTS(38:2)+H",0,0,0,"9.67366666666667","9.97366666666667","4318","","DGTS(38:2)+H",0,0,0,"9.67366666666667","9.97366666666667","4318","","DGTS(38:2)+H",0,0,0,"9.67366666666667","9.97366666666667","4318","","DGTS(38:2)+H","792.6712","236.1492","144.1019","9.67366666666667","9.97366666666667","4318"
"","DGTS(38:2)+H",0,0,0,"9.11397916666667","9.41397916666667","6647","","DGTS(38:2)+H",0,0,0,"9.11397916666667","9.41397916666667","6647","","DGTS(38:2)+H",0,0,0,"9.11397916666667","9.41397916666667","6647","","DGTS(38:2)+H",0,0,0,"9.11397916666667","9.41397916666667","6647","","DGTS(38:2)+H",0,0,0,"9.11397916666667","9.41397916666667","6647","","DGTS(38:2)+H","792.6712","236.1492","144.1019","9.11397916666667","9.41397916666667","6647"
"","DGTS(38:2)+H",0,0,0,"10.1118683333333","10.4118683333333","10526","","DGTS(38:2)+H",0,0,0,"10.1118683333333","10.4118683333333","10526","","DGTS(38:2)+H",0,0,0,"10.1118683333333","10.4118683333333","10526","","DGTS(38:2)+H",0,0,0,"10.1118683333333","10.4118683333333","10526","","DGTS(38:2)+H",0,0,0,"10.1118683333333","10.4118683333333","10526","","DGTS(38:2)+H","792.6712","236.1492","144.1019","10.1118683333333","10.4118683333333","10526"
"","DGTS(39:0)+H",0,0,0,"11.2966305555556","11.5966305555556","8053","","DGTS(39:0)+H",0,0,0,"11.2966305555556","11.5966305555556","8053","","DGTS(39:0)+H",0,0,0,"11.2966305555556","11.5966305555556","8053","","DGTS(39:0)+H",0,0,0,"11.2966305555556","11.5966305555556","8053","","DGTS(39:0)+H",0,0,0,"11.2966305555556","11.5966305555556","8053","","DGTS(39:0)+H","810.7181","236.1492","144.1019","11.2966305555556","11.5966305555556","8053"
"","DGTS(39:0)+H",0,0,0,"11.3206388888889","11.6206388888889","13771","","DGTS(39:0)+H",0,0,0,"11.3206388888889","11.6206388888889","13771","","DGTS(39:0)+H",0,0,0,"11.3206388888889","11.6206388888889","13771","","DGTS(39:0)+H",0,0,0,"11.3206388888889","11.6206388888889","13771","","DGTS(39:0)+H",0,0,0,"11.3206388888889","11.6206388888889","13771","","DGTS(39:0)+H","810.7181","236.1492","144.1019","11.3206388888889","11.6206388888889","13771"
"","DGTS(35:3)+H",0,0,0,"6.83736944444445","7.13736944444445","17284","","DGTS(35:3)+H",0,0,0,"6.83736944444445","7.13736944444445","17284","","DGTS(35:3)+H",0,0,0,"6.83736944444445","7.13736944444445","17284","","DGTS(35:3)+H",0,0,0,"6.83736944444445","7.13736944444445","17284","","DGTS(35:3)+H",0,0,0,"6.83736944444445","7.13736944444445","17284","","DGTS(35:3)+H","748.6086","236.1492","144.1019","6.83736944444445","7.13736944444445","17284"
