"MSDIAL_EtherOxPC","[M+CH3COO]-","1","2","3","4","5","6","7","8"
"MSDIAL_PC O-18:0_20:3;O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C=C\C(O)CCCCCCCC;WMRMUGNXOYUHPM-RPIHBLCDNA-N;C46H88NO8P","872.63861","321.2435","798.6013","303.233","872.6386","476.3499","494.3605","224.0693","1"
"MSDIAL_PC O-18:0_20:4;O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/CC1OC1C\C=C\CCCCC;RWPCSMIEQFGRMR-JDWKEPDUNA-N;C46H86NO8P","870.62296","319.2279","796.5856","870.623","476.3499","494.3605","224.0693","1","1"
"MSDIAL_PC O-18:0_20:3;2O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/CC(O)C(O)C\C=C\CCCCC;SPQMTHVAIGCRIY-JDWKEPDUNA-N;C46H88NO9P","888.63352","337.2384","814.5962","301.2173","319.2279","888.6335","476.3499","494.3605","224.0693"
"MSDIAL_PC O-18:0_20:4;2O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C\CC(O)\C=C/C1OC1C\C=C\CCCCC;RVUYOUZIRXUYPG-NXKCMUKVNA-N;C46H86NO9P","886.61787","335.2228","812.5806","317.2122","886.6179","476.3499","494.3605","224.0693","1"
"MSDIAL_PC O-18:0_20:3;3O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C(O)CC(O)C1\C=C\C(O)CCCCC;GEHMEZUJVIXCPS-VFFIVXFYNA-N;C46H88NO10P","904.62844","353.2333","830.5911","317.2122","335.2228","904.6284","476.3499","494.3605","224.0693"
"MSDIAL_PC O-18:0_20:3;4O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C(O)CC(O)OC1\C=C\C(O)CCCCC;KDDOOUINFIYLLH-VFFIVXFYNA-N;C46H88NO11P","920.62335","369.2283","846.5861","333.2072","351.2177","920.6234","476.3499","494.3605","224.0693"
"MSDIAL_PC O-18:0_20:4;O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC(O)\C=C\C=C\C\C=C\C\C=C\CCCCC;QRHNZSBFRJXBHW-ONJZDTSBNA-N;C46H86NO8P","870.62296","319.2279","796.5856","301.2173","870.623","476.3499","494.3605","224.0693","1"
"MSDIAL_PC O-18:0_20:5;O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC1OC1\C=C/C=C\C=C\C\C=C\CCCCC;MKHRKUMCXMJEFJ-DHHRUTKENA-N;C46H84NO8P","868.60731","317.2122","794.57","868.6073","476.3499","494.3605","224.0693","1","1"
"MSDIAL_PC O-18:0_20:4;2O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC(O)\C=C\C=C\C=C\C(O)C\C=C\CCCCC;IKQGPMWNMVLVDX-LANKXQHFNA-N;C46H86NO9P","886.61787","335.2228","812.5806","299.2017","317.2122","886.6179","476.3499","494.3605","224.0693"
"MSDIAL_PC O-18:0_20:4;3O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC(O)C(O)\C=C/C=C\C=C\C=C/C(O)CCCCC;DZYRXJFESOJADN-QOYQIHGANA-N;C46H86NO10P","902.61279","351.2177","828.5754","315.1966","333.2072","902.6128","476.3499","494.3605","224.0693"
"MSDIAL_PC O-18:0_20:4;3O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(O)CCCCC;QYTVTFRLIUIWBP-VFFIVXFYNA-N;C46H86NO10P","902.61279","351.2177","828.5754","333.2072","902.6128","476.3499","494.3605","224.0693","1"
