"MSDIAL_OxPC","[M+HCOO]-","1","2","3","4","5","6","7"
"MSDIAL_PC 18:0_18:2;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CC1OC1CCCCC;MUQKYUKHMALXJI-GNVQSUKONA-N;C44H84NO9P","846.58657","786.5649","283.2635","295.2279","846.5865","224.0693","1","1"
"MSDIAL_PC 18:0_18:1;2O;[M+HCOO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CC(O)C(O)CCCCC;UJADOACEUYWWFH-GNVQSUKONA-N;C44H86NO10P","864.59714","295.2279","804.5754","283.2635","277.2173","313.2384","864.5972","224.0693"
"MSDIAL_PC 18:0_18:1;3O;[M+HCOO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCC(O)\C=C\C(O)C(O)CCCCC;GSELFLCDHRUYGJ-JEIPZWNWNA-N;C44H86NO11P","880.59205","820.5704","283.2635","293.2122","311.2228","880.592","224.0693","329.2333"
"MSDIAL_PC 18:0_18:2;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C=C/C(O)CCCCC;KPFXSOXHTNSNBW-XPGOGURHNA-N;C44H84NO9P","846.58657","786.5649","283.2635","277.2173","846.5865","224.0693","295.2279","1"
"MSDIAL_PC 18:0_18:2;2O;[M+HCOO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C=C/C(CCCCC)OO;PZANWOBHYGUINP-XPGOGURHNA-N;C44H84NO10P","862.58149","293.2122","802.5598","283.2635","275.2017","311.2228","862.5815","224.0693"
"MSDIAL_PC 18:0_18:3;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C\C=C\C(O)C\C=C\CC;NIYVBUWISYPGLW-MKMWWGAINA-N;C44H82NO9P","844.57092","784.5493","283.2635","275.2017","844.5709","224.0693","293.2122","1"
"MSDIAL_PC 18:0_20:3;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C=C\C(O)CCCCCCCC;OUFBUFWSCDIEHD-ZNSDZCODNA-N;C46H86NO9P","872.60222","812.5806","283.2635","303.233","872.6022","224.0693","321.2435","1"
"MSDIAL_PC 18:0_20:4;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/CC1OC1C\C=C\CCCCC;YLUJSGXJNVOQHB-DCXHSTQANA-N;C46H84NO9P","870.58657","810.5649","283.2635","319.2279","870.5865","224.0693","1","1"
"MSDIAL_PC 18:0_20:3;2O;[M+HCOO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/CC(O)C(O)C\C=C\CCCCC;VCKSSRJYHMYKRX-DCXHSTQANA-N;C46H86NO10P","888.59714","319.2279","828.5754","283.2635","301.2173","337.2384","888.5972","224.0693"
"MSDIAL_PC 18:0_20:4;2O;[M+HCOO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C\CC(O)\C=C/C1OC1C\C=C\CCCCC;JPFIOEHNRDYRBQ-BTBUXRBANA-N;C46H84NO10P","886.58149","826.5598","283.2635","317.2122","886.5815","224.0693","335.2228","1"
"MSDIAL_PC 18:0_20:3;3O;[M+HCOO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C(O)CC(O)C1\C=C\C(O)CCCCC;VUXINVFZDRMFRL-PIKMSLHQNA-N;C46H86NO11P","904.59205","844.5704","283.2635","317.2122","335.2228","904.592","224.0693","353.2333"
"MSDIAL_PC 18:0_20:3;4O;[M+HCOO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C(O)CC(O)OC1\C=C\C(O)CCCCC;SMBUTZPQXYFACO-PIKMSLHQNA-N;C46H86NO12P","920.58697","860.5653","283.2635","920.587","224.0693","333.2072","351.2177","369.2283"
"MSDIAL_PC 18:0_20:4;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC(O)\C=C\C=C\C\C=C\C\C=C\CCCCC;DKEQTVJFXLFRHR-GCORPCAWNA-N;C46H84NO9P","870.58657","810.5649","283.2635","301.2173","870.5865","224.0693","319.2279","1"
"MSDIAL_PC 18:0_20:5;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC1OC1\C=C/C=C\C=C\C\C=C\CCCCC;MRDITMYFLRJPEJ-LWTVRIGNNA-N;C46H82NO9P","868.57092","808.5493","283.2635","317.2122","868.5709","224.0693","1","1"
"MSDIAL_PC 18:0_20:4;2O;[M+HCOO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC(O)\C=C\C=C\C=C\C(O)C\C=C\CCCCC;OOWNQDRYRNLVMV-YVRTWIGUNA-N;C46H84NO10P","886.58149","317.2122","826.5598","283.2635","299.2017","335.2228","886.5815","224.0693"
"MSDIAL_PC 18:0_20:4;3O;[M+HCOO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC(O)C(O)\C=C/C=C\C=C\C=C/C(O)CCCCC;CIMALEANGJHSMV-MVFGQANJNA-N;C46H84NO11P","902.57640","842.5547","283.2635","315.1966","333.2072","902.5764","224.0693","351.2177"
"MSDIAL_PC 18:0_20:4;3O;[M+HCOO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(O)CCCCC;AAEMEDLLCQTQMI-PIKMSLHQNA-N;C46H84NO11P","902.57640","842.5547","283.2635","902.5764","224.0693","333.2072","351.2177","1"
"MSDIAL_PC 18:0_20:4;4O;[M+HCOO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C(O)CC(O)OC1\C=C\C(O)C\C=C/CC;ZUWVGRUQEMRXLJ-KKNZMDGONA-N;C46H84NO12P","918.57132","858.5496","283.2635","918.5714","224.0693","331.1915","349.2021","367.2126"
"MSDIAL_PC 18:0_20:4;4O;[M+HCOO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(CCCCC)OO;RJVUPNGPMPSSRJ-PIKMSLHQNA-N;C46H84NO12P","918.57132","858.5496","283.2635","349.2021","331.1915","918.5714","224.0693","367.2126"
"MSDIAL_PC 18:0_20:5;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC(O)\C=C\C=C/C\C=C/C\C=C/C\C=C/CC;SFWUSRYKWBRXLR-WFHJQXGJNA-N;C46H82NO9P","868.57092","808.5493","283.2635","299.2017","868.5709","224.0693","317.2122","1"
"MSDIAL_PC 18:0_20:6;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC1OC1\C=C\C=C\C=C/C\C=C/C\C=C/CC;QPFVDVPFNFNLBG-LFPZVBBZNA-N;C46H80NO9P","866.55527","806.5336","283.2635","315.1966","866.5553","224.0693","1","1"
"MSDIAL_PC 18:0_20:5;2O;[M+HCOO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC(O)\C=C\C=C/C=C/C(O)C\C=C/C\C=C/CC;QVEOEBDPDRJRPF-IQDBVUNMNA-N;C46H82NO10P","884.56584","315.1966","824.5442","283.2635","297.186","333.2071","884.5659","224.0693"
"MSDIAL_PC 18:0_20:5;3O;[M+HCOO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC(O)\C=C\C=C/C=C/C(O)C\C=C/C=C/C(O)CC;KNMNGMSGDJRFLI-IGYJEKOXNA-N;C46H82NO11P","900.56075","840.5391","283.2635","313.1809","331.1915","900.5607","224.0693","349.2021"
"MSDIAL_PC 18:0_20:5;3O;[M+HCOO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(O)C\C=C/CC;WASQESWTHUKKSW-KKNZMDGONA-N;C46H82NO11P","900.56075","840.5391","283.2635","900.5607","224.0693","331.1915","349.2021","1"
"MSDIAL_PC 18:0_20:5;4O;[M+HCOO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(C\C=C/CC)OO;BFHVDMPNBRTZMN-KKNZMDGONA-N;C46H82NO12P","916.55567","856.534","283.2635","347.1864","329.1758","916.5557","224.0693","365.197"
"MSDIAL_PC 18:0_22:5;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C\C\C=C\C\C=C\C\C=C\C\C=C\CC1OC1CC;ORDQUMWHJBKZBE-BWHMUZKANA-N;C48H84NO9P","894.58657","834.5649","283.2635","343.2279","894.5865","224.0693","1","1"
"MSDIAL_PC 18:0_22:5;2O;[M+HCOO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C\C\C=C\C\C=C\C\C=C\C\C=C\CC(O)C(O)CC;NLGQYJAUSYJKLW-BWHMUZKANA-N;C48H86NO10P","912.59714","343.2279","852.5754","283.2635","325.2173","361.2384","912.5972","224.0693"
"MSDIAL_PC 18:0_22:6;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C\C\C=C\C\C=C\C\C=C\C\C=C\C\C=C/C(C)O;VNFHMQPMQGUBBN-UGWBQZEHNA-N;C48H84NO9P","894.58657","834.5649","283.2635","325.2173","894.5865","224.0693","343.2279","1"
"MSDIAL_PC 18:0_22:6;2O;[M+HCOO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C\C\C=C\C\C=C\C=C/C(O)C\C=C\C\C=C/C(C)O;XMLIUDDWEBMLFC-URHZTNOLNA-N;C48H84NO10P","910.58149","341.2122","850.5598","283.2635","323.2017","359.2228","910.5815","224.0693"
"MSDIAL_PC 18:0_22:6;3O;[M+HCOO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C\CC(O)\C=C\C=C\C=C/C=C/C(O)C(O)C\C=C/CC;NPOJNPHYDGVXFQ-GJOPUNGXNA-N;C48H84NO11P","926.57640","866.5547","283.2635","339.1966","357.2072","926.5764","224.0693","375.2177"
"MSDIAL_PC 18:0_22:6;4O;[M+HCOO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC(O)\C=C\C(O)\C=C\C=C\C=C/C(O)C\C=C\C\C=C/C(C)O;WICOTBJBSWVUKU-YNFPKYSANA-N;C48H84NO12P","942.57132","882.5496","283.2635","942.5714","224.0693","355.1915","373.2021","391.2126"
