DLCL-BPMlike,[M-H]-, Glycerol-3-phosphate_NLH2O, Glycerol-3-phosphate,T1_RCOO-,T3_RCOO-,LPA(R1),LPA(R1)+56,LPA(R1)+136,LPA(R1)+56+18,LPA(R3),LPA(R3)+56,LPA(R3)+136,LPA(R3)+56+18
DLCL-BMPlike(10:0_20:2)-H,843.443018,152.995833,171.006398,171.139054,307.264254,325.142163,381.168377,461.134708,399.178942,461.267363,517.293577,597.259908,535.304142
DLCL-BMPlike(10:0_20:3)-H,841.427368,152.995833,171.006398,171.139054,305.248604,325.142163,381.168377,461.134708,399.178942,459.251713,515.277927,595.244258,533.288492
DLCL-BMPlike(10:0_20:4)-H,839.411718,152.995833,171.006398,171.139054,303.232954,325.142163,381.168377,461.134708,399.178942,457.236063,513.262277,593.228608,531.272842
DLCL-BMPlike(10:0_20:5)-H,837.396068,152.995833,171.006398,171.139054,301.217304,325.142163,381.168377,461.134708,399.178942,455.220413,511.246627,591.212958,529.257192
DLCL-BMPlike(10:0_21:0)-H,861.489968,152.995833,171.006398,171.139054,325.311204,325.142163,381.168377,461.134708,399.178942,479.314313,535.340527,615.306858,553.351092
DLCL-BMPlike(10:0_22:0)-H,875.505618,152.995833,171.006398,171.139054,339.326854,325.142163,381.168377,461.134708,399.178942,493.329963,549.356177,629.322508,567.366742
DLCL-BMPlike(10:0_22:1)-H,873.489968,152.995833,171.006398,171.139054,337.311204,325.142163,381.168377,461.134708,399.178942,491.314313,547.340527,627.306858,565.351092
DLCL-BMPlike(10:0_22:2)-H,871.474318,152.995833,171.006398,171.139054,335.295554,325.142163,381.168377,461.134708,399.178942,489.298663,545.324877,625.291208,563.335442
DLCL-BMPlike(10:0_22:3)-H,869.458668,152.995833,171.006398,171.139054,333.279904,325.142163,381.168377,461.134708,399.178942,487.283013,543.309227,623.275558,561.319792
DLCL-BMPlike(10:0_22:4)-H,867.443018,152.995833,171.006398,171.139054,331.264254,325.142163,381.168377,461.134708,399.178942,485.267363,541.293577,621.259908,559.304142
DLCL-BMPlike(10:0_22:5)-H,865.427368,152.995833,171.006398,171.139054,329.248604,325.142163,381.168377,461.134708,399.178942,483.251713,539.277927,619.244258,557.288492
DLCL-BMPlike(10:0_22:6)-H,863.411718,152.995833,171.006398,171.139054,327.232954,325.142163,381.168377,461.134708,399.178942,481.236063,537.262277,617.228608,555.272842
DLCL-BMPlike(10:0_23:0)-H,889.521268,152.995833,171.006398,171.139054,353.342504,325.142163,381.168377,461.134708,399.178942,507.345613,563.371827,643.338158,581.382392
DLCL-BMPlike(10:0_24:0)-H,903.536918,152.995833,171.006398,171.139054,367.358154,325.142163,381.168377,461.134708,399.178942,521.361263,577.387477,657.353808,595.398042
DLCL-BMPlike(10:0_24:1)-H,901.521268,152.995833,171.006398,171.139054,365.342504,325.142163,381.168377,461.134708,399.178942,519.345613,575.371827,655.338158,593.382392
DLCL-BMPlike(10:0_25:0)-H,917.552568,152.995833,171.006398,171.139054,381.373804,325.142163,381.168377,461.134708,399.178942,535.376913,591.403127,671.369458,609.413692
DLCL-BMPlike(10:0_26:0)-H,931.568218,152.995833,171.006398,171.139054,395.389454,325.142163,381.168377,461.134708,399.178942,549.392563,605.418777,685.385108,623.429342
DLCL-BMPlike(12:0_8:0)-H,707.317817,152.995833,171.006398,199.170354,143.107753,353.173463,409.199677,489.166008,427.210242,297.110862,353.137076,433.103407,371.147641
DLCL-BMPlike(12:0_10:0)-H,735.349118,152.995833,171.006398,199.170354,171.139054,353.173463,409.199677,489.166008,427.210242,325.142163,381.168377,461.134708,399.178942
DLCL-BMPlike(12:0_12:0)-H,763.380418,152.995833,171.006398,199.170354,199.170354,353.173463,409.199677,489.166008,427.210242,353.173463,409.199677,489.166008,427.210242
DLCL-BMPlike(12:0_13:0)-H,777.396068,152.995833,171.006398,199.170354,213.186004,353.173463,409.199677,489.166008,427.210242,367.189113,423.215327,503.181658,441.225892
DLCL-BMPlike(12:0_14:0)-H,791.411718,152.995833,171.006398,199.170354,227.201654,353.173463,409.199677,489.166008,427.210242,381.204763,437.230977,517.197308,455.241542
DLCL-BMPlike(12:0_14:1)-H,789.396068,152.995833,171.006398,199.170354,225.186004,353.173463,409.199677,489.166008,427.210242,379.189113,435.215327,515.181658,453.225892
DLCL-BMPlike(12:0_15:0)-H,805.427368,152.995833,171.006398,199.170354,241.217304,353.173463,409.199677,489.166008,427.210242,395.220413,451.246627,531.212958,469.257192
DLCL-BMPlike(12:0_15:1)-H,803.411718,152.995833,171.006398,199.170354,239.201654,353.173463,409.199677,489.166008,427.210242,393.204763,449.230977,529.197308,467.241542
DLCL-BMPlike(12:0_16:0)-H,819.443018,152.995833,171.006398,199.170354,255.232954,353.173463,409.199677,489.166008,427.210242,409.236063,465.262277,545.228608,483.272842
DLCL-BMPlike(12:0_16:1)-H,817.427368,152.995833,171.006398,199.170354,253.217304,353.173463,409.199677,489.166008,427.210242,407.220413,463.246627,543.212958,481.257192
DLCL-BMPlike(12:0_16:2)-H,815.411718,152.995833,171.006398,199.170354,251.201654,353.173463,409.199677,489.166008,427.210242,405.204763,461.230977,541.197308,479.241542
DLCL-BMPlike(12:0_16:3)-H,813.396068,152.995833,171.006398,199.170354,249.186004,353.173463,409.199677,489.166008,427.210242,403.189113,459.215327,539.181658,477.225892
DLCL-BMPlike(12:0_16:4)-H,811.380418,152.995833,171.006398,199.170354,247.170354,353.173463,409.199677,489.166008,427.210242,401.173463,457.199677,537.166008,475.210242
DLCL-BMPlike(12:0_17:0)-H,833.458668,152.995833,171.006398,199.170354,269.248604,353.173463,409.199677,489.166008,427.210242,423.251713,479.277927,559.244258,497.288492
DLCL-BMPlike(12:0_17:1)-H,831.443018,152.995833,171.006398,199.170354,267.232954,353.173463,409.199677,489.166008,427.210242,421.236063,477.262277,557.228608,495.272842
DLCL-BMPlike(12:0_17:2)-H,829.427368,152.995833,171.006398,199.170354,265.217304,353.173463,409.199677,489.166008,427.210242,419.220413,475.246627,555.212958,493.257192
DLCL-BMPlike(12:0_18:0)-H,847.474318,152.995833,171.006398,199.170354,283.264254,353.173463,409.199677,489.166008,427.210242,437.267363,493.293577,573.259908,511.304142
DLCL-BMPlike(12:0_18:1)-H,845.458668,152.995833,171.006398,199.170354,281.248604,353.173463,409.199677,489.166008,427.210242,435.251713,491.277927,571.244258,509.288492
DLCL-BMPlike(12:0_18:2)-H,843.443018,152.995833,171.006398,199.170354,279.232954,353.173463,409.199677,489.166008,427.210242,433.236063,489.262277,569.228608,507.272842
DLCL-BMPlike(12:0_18:3)-H,841.427368,152.995833,171.006398,199.170354,277.217304,353.173463,409.199677,489.166008,427.210242,431.220413,487.246627,567.212958,505.257192
DLCL-BMPlike(12:0_18:4)-H,839.411718,152.995833,171.006398,199.170354,275.201654,353.173463,409.199677,489.166008,427.210242,429.204763,485.230977,565.197308,503.241542
DLCL-BMPlike(12:0_18:4)-H,837.396068,152.995833,171.006398,199.170354,273.186004,353.173463,409.199677,489.166008,427.210242,427.189113,483.215327,563.181658,501.225892
DLCL-BMPlike(12:0_19:0)-H,861.489968,152.995833,171.006398,199.170354,297.279904,353.173463,409.199677,489.166008,427.210242,451.283013,507.309227,587.275558,525.319792
DLCL-BMPlike(12:0_19:1)-H,859.474308,152.995833,171.006398,199.170354,295.264244,353.173463,409.199677,489.166008,427.210242,449.267353,505.293567,585.259898,523.304132
