"MSDIAL_CerP","[M+H]+","1","2","3","4","5","6"
"MSDIAL_CerP 15:1;2O/16:0;[M+H]+;CCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)\C=C\CCCCCCCCCC;BLBHVXPCOXTWLH-INXZUHKUSA-N;C31H62NO6P","576.43928","576.4393","222.222","558.4287","460.4518","478.4624","496.473"
"MSDIAL_CerP 15:1;2O/18:0;[M+H]+;CCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)\C=C\CCCCCCCCCC;KRGXBDDDIAUKIE-STSAHMJASA-N;C33H66NO6P","604.47059","604.4706","222.222","586.46","488.4831","506.4937","524.5043"
"MSDIAL_CerP 15:1;2O/18:1;[M+H]+;CCCCCCCCCC\C=C\[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCC\C=C/CCCCCCCC;MSBRZXCYKNUGGV-VSUWJOLXSA-N;C33H64NO6P","602.45496","602.455","222.222","584.4444","486.4675","504.4781","522.4886"
"MSDIAL_CerP 15:1;2O/20:0;[M+H]+;CCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)\C=C\CCCCCCCCCC;KSACGWUJUPCZSP-QKSCFGQVSA-N;C35H70NO6P","632.50190","632.5019","222.222","614.4913","516.5145","534.525","552.5356"
"MSDIAL_CerP 15:1;2O/22:0;[M+H]+;CCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)\C=C\CCCCCCCCCC;NAKGMAJPUXDWOJ-RQDJVNCUSA-N;C37H74NO6P","660.53321","660.5332","222.222","642.5226","544.5458","562.5563","580.5669"
"MSDIAL_CerP 15:1;2O/24:0;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)\C=C\CCCCCCCCCC;KDDJRSGMBUEVRY-PQPBPFPMSA-N;C39H78NO6P","688.56452","688.5645","222.222","670.554","572.5771","590.5876","608.5982"
"MSDIAL_CerP 15:1;2O/24:1;[M+H]+;CCCCCCCCCC\C=C\[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCCCCCCCC\C=C/CCCCCCCC;NIVLGDJTRZGGAK-SDBCSRCNSA-N;C39H76NO6P","686.54884","686.5488","222.222","668.5383","570.5614","588.572","606.5825"
"MSDIAL_CerP 15:1;2O/24:4;[M+H]+;CCCCCCCCCC\C=C\[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCCCC;LMDUMJPIVGALPB-HCQTZSFHSA-N;C39H70NO6P","680.50190","680.5019","222.222","662.4913","564.5145","582.525","600.5356"
"MSDIAL_CerP 15:1;2O/26:0;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)\C=C\CCCCCCCCCC;VWPKXLIFLKILMP-PUYNVXOJSA-N;C41H82NO6P","716.59577","716.5958","222.222","698.5852","600.6083","618.6189","636.6295"
"MSDIAL_CerP 15:1;2O/26:1;[M+H]+;CCCCCCCCCC\C=C\[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCCCCCCCCCC\C=C/CCCCCCCC;ANRHFXYUTBYJMF-MWMXXUFASA-N;C41H80NO6P","714.58015","714.5801","222.222","696.5696","598.5927","616.6033","634.6138"
