"MSDIAL_OxPI","[M-H]-","1","2","3","4","5","6","7"
"MSDIAL_PI 18:0_18:1;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/CC(O)C(O)CCCCC;MZTXSVQHTTVCME-ROMGYVFFNA-N;C45H85O15P","895.55533","895.5554","277.2173","295.2279","241.0119","283.2635","297.0381","313.2384"
"MSDIAL_PI 18:0_18:1;3O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCCCCCCC(O)\C=C\C(O)C(O)CCCCC;VBMZLLCXWPVECC-NVQSTNCTNA-N;C45H85O16P","911.55025","911.5502","293.2122","311.2228","241.0119","283.2635","297.0381","329.2333"
"MSDIAL_PI 18:0_18:2;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/C=C/C(O)CCCCC;NLWQZQSKHZJFGA-TVRAAEJBNA-N;C45H83O14P","877.54477","877.5448","277.2173","241.0119","283.2635","295.2279","297.0381","1"
"MSDIAL_PI 18:0_18:2;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C/C=C/C(CCCCC)OO;LFOVAIAIZMAMSI-TVRAAEJBNA-N;C45H83O15P","893.53968","893.5397","275.2017","293.2122","241.0119","283.2635","297.0381","311.2228"
"MSDIAL_PI 18:0_18:3;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCCCCCC\C=C\C=C\C(O)C\C=C\CC;HPOPIXITRFOEES-WEZTZMKQNA-N;C45H81O14P","875.52912","875.5291","275.2017","241.0119","283.2635","293.2122","297.0381","1"
"MSDIAL_PI 18:0_20:3;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCC\C=C/C\C=C/C=C\C(O)CCCCCCCC;KNBAAHCMHFGQHZ-HBXSHRTENA-N;C47H85O14P","903.56042","903.5604","303.233","241.0119","283.2635","297.0381","321.2435","1"
"MSDIAL_PI 18:0_20:4;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCC\C=C/C\C=C/CC1OC1C\C=C\CCCCC;PWYBUQKNGPVNJS-HXRHVUHXNA-N;C47H83O14P","901.54477","901.5448","241.0119","283.2635","297.0381","319.2279","1","1"
"MSDIAL_PI 18:0_20:3;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCC\C=C/C\C=C/CC(O)C(O)C\C=C\CCCCC;RVDJKYLWWKFGME-HXRHVUHXNA-N;C47H85O15P","919.55533","919.5554","301.2173","319.2279","241.0119","283.2635","297.0381","337.2384"
"MSDIAL_PI 18:0_20:4;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCC\C=C\CC(O)\C=C/C1OC1C\C=C\CCCCC;JNLMIVOHVWKEFS-QDGJUDQHNA-N;C47H83O15P","917.53968","917.5397","317.2122","241.0119","283.2635","297.0381","335.2228","1"
"MSDIAL_PI 18:0_20:3;3O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCC\C=C/CC1C(O)CC(O)C1\C=C\C(O)CCCCC;BVHFNIRXTZFMMN-SZXPTWDZNA-N;C47H85O16P","935.55025","935.5502","317.2122","335.2228","241.0119","283.2635","297.0381","353.2333"
"MSDIAL_PI 18:0_20:3;4O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCC\C=C/CC1C(O)CC(O)OC1\C=C\C(O)CCCCC;QUAJIABNSRNZDL-SZXPTWDZNA-N;C47H85O17P","951.54516","951.5452","333.2072","351.2177","241.0119","283.2635","297.0381","369.2283"
"MSDIAL_PI 18:0_20:4;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCCC(O)\C=C\C=C\C\C=C\C\C=C\CCCCC;CZRKOADTWMQMNP-SYDBWRLPNA-N;C47H83O14P","901.54477","901.5448","301.2173","241.0119","283.2635","297.0381","319.2279","1"
"MSDIAL_PI 18:0_20:5;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCCC1OC1\C=C/C=C\C=C\C\C=C\CCCCC;HUSDLNNNFBREDJ-TZTOWVBZNA-N;C47H81O14P","899.52912","899.5291","241.0119","283.2635","297.0381","317.2122","1","1"
"MSDIAL_PI 18:0_20:4;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCCC(O)\C=C\C=C\C=C\C(O)C\C=C\CCCCC;UDASOUPIHZCIDW-BEPAKANMNA-N;C47H83O15P","917.53968","917.5397","299.2017","317.2122","241.0119","283.2635","297.0381","335.2228"
