OxTG,[M+NH4]+,[M+H-nH2O]+,[M+H-R1COOH]+,[M+H-R2COOH]+,[M+H-R3COOH]+
OxTG(14:0_14:1_18:1(Ke_or_Epoxy))+NH4,806.6869504,771.6498304,561.4514764,563.4670764,493.4251764
OxTG(14:0_14:1_18:2(Ke_or_Epoxy))+NH4,804.6712504,769.6341304,559.4357764,561.4513764,493.4251764
OxTG(14:0_14:1_18:3(Ke_or_Epoxy))+NH4,802.6556504,767.6185304,557.4201764,559.4357764,493.4251764
OxTG(14:0_14:1_18:4(Ke_or_Epoxy))+NH4,800.6399504,765.6028304,555.4044764,557.4200764,493.4251764
OxTG(14:0_14:1_20:1(Ke_or_Epoxy))+NH4,834.7182504,799.6811304,589.4827764,591.4983764,493.4251764
OxTG(14:0_14:1_20:2(Ke_or_Epoxy))+NH4,832.7025504,797.6654304,587.4670764,589.4826764,493.4251764
OxTG(14:0_14:1_20:3(Ke_or_Epoxy))+NH4,830.6869504,795.6498304,585.4514764,587.4670764,493.4251764
OxTG(14:0_14:1_20:5(Ke_or_Epoxy))+NH4,826.6556504,791.6185304,581.4201764,583.4357764,493.4251764
OxTG(14:0_14:1_22:1(Ke_or_Epoxy))+NH4,862.7495504,827.7124304,617.5140764,619.5296764,493.4251764
OxTG(14:0_14:1_22:2(Ke_or_Epoxy))+NH4,860.7338504,825.6967304,615.4983764,617.5139764,493.4251764
OxTG(14:0_14:1_22:3(Ke_or_Epoxy))+NH4,858.7182504,823.6811304,613.4827764,615.4983764,493.4251764
OxTG(14:0_14:1_22:4(Ke_or_Epoxy))+NH4,856.7025504,821.6654304,611.4670764,613.4826764,493.4251764
OxTG(14:0_14:1_22:5(Ke_or_Epoxy))+NH4,854.6869504,819.6498304,609.4514764,611.4670764,493.4251764
OxTG(14:0_14:1_22:6(Ke_or_Epoxy))+NH4,852.6712504,817.6341304,607.4357764,609.4513764,493.4251764
OxTG(14:0_14:1_24:1(Ke_or_Epoxy))+NH4,890.7808504,855.7437304,645.5453764,647.5609764,493.4251764
OxTG(14:0_16:0_14:1(Ke_or_Epoxy))+NH4,780.6712504,745.6341304,535.4357764,507.4044764,523.4720764
OxTG(14:0_16:0_15:1(Ke_or_Epoxy))+NH4,794.6868504,759.6497304,549.4513764,521.4200764,523.4720764
OxTG(14:0_16:0_16:1(Ke_or_Epoxy))+NH4,808.7025504,773.6654304,563.4670764,535.4357764,523.4720764
OxTG(14:0_16:0_17:1(Ke_or_Epoxy))+NH4,822.7181504,787.6810304,577.4826764,549.4513764,523.4720764
OxTG(14:0_16:0_17:2(Ke_or_Epoxy))+NH4,820.7025504,785.6654304,575.4670764,547.4357764,523.4720764
OxTG(14:0_16:0_18:1(Ke_or_Epoxy))+NH4,836.7338504,801.6967304,591.4983764,563.4670764,523.4720764
OxTG(14:0_16:0_18:2(Ke_or_Epoxy))+NH4,834.7181504,799.6810304,589.4826764,561.4513764,523.4720764
OxTG(14:0_16:0_18:3(Ke_or_Epoxy))+NH4,832.7025504,797.6654304,587.4670764,559.4357764,523.4720764
OxTG(14:0_16:0_18:4(Ke_or_Epoxy))+NH4,830.6868504,795.6497304,585.4513764,557.4200764,523.4720764
OxTG(14:0_16:0_20:1(Ke_or_Epoxy))+NH4,864.7651504,829.7280304,619.5296764,591.4983764,523.4720764
