DLCL-PGlike,[M-H]-, Glycerol-3-phosphate_NLH2O, Glycerol-3-phosphate,T1_RCOO-,T2_RCOO-,PA(R1+R2),PA(R1+R2)-NL_T1RCOOH,PA(R1+R2)-NL_T2RCOOH,PA(R1+R2)-NL_T1Ketene,PA(R1+R2)-NL_T2Ketene,PA(R1+R2)+56,PA(R1+R2)+136,PA(R1+R2)+56+18
DLCL-PGlike(12:0_18:3)-H,841.427368,152.995833,171.006398,199.170354,277.217304,613.387479,413.209849,335.162899,431.220414,353.173464,669.413693,749.380024,687.424258
DLCL-PGlike(12:0_18:4)-H,839.411718,152.995833,171.006398,199.170354,275.201654,611.371829,411.194199,335.162899,429.204764,353.173464,667.398043,747.364374,685.408608
DLCL-PGlike(12:0_18:4)-H,837.396068,152.995833,171.006398,199.170354,273.186004,609.356179,409.178549,335.162899,427.189114,353.173464,665.382393,745.348724,683.392958
DLCL-PGlike(12:0_19:0)-H,861.489968,152.995833,171.006398,199.170354,297.279904,633.450079,433.272449,335.162899,451.283014,353.173464,689.476293,769.442624,707.486858
DLCL-PGlike(12:0_19:1)-H,859.474308,152.995833,171.006398,199.170354,295.264244,631.434419,431.256789,335.162899,449.267354,353.173464,687.460633,767.426964,705.471198
DLCL-PGlike(12:0_20:0)-H,875.505618,152.995833,171.006398,199.170354,311.295554,647.465729,447.288099,335.162899,465.298664,353.173464,703.491943,783.458274,721.502508
DLCL-PGlike(12:0_20:1)-H,873.489968,152.995833,171.006398,199.170354,309.279904,645.450079,445.272449,335.162899,463.283014,353.173464,701.476293,781.442624,719.486858
DLCL-PGlike(12:0_20:2)-H,871.474318,152.995833,171.006398,199.170354,307.264254,643.434429,443.256799,335.162899,461.267364,353.173464,699.460643,779.426974,717.471208
DLCL-PGlike(12:0_20:3)-H,869.458668,152.995833,171.006398,199.170354,305.248604,641.418779,441.241149,335.162899,459.251714,353.173464,697.444993,777.411324,715.455558
DLCL-PGlike(12:0_20:4)-H,867.443018,152.995833,171.006398,199.170354,303.232954,639.403129,439.225499,335.162899,457.236064,353.173464,695.429343,775.395674,713.439908
DLCL-PGlike(12:0_20:5)-H,865.427368,152.995833,171.006398,199.170354,301.217304,637.387479,437.209849,335.162899,455.220414,353.173464,693.413693,773.380024,711.424258
DLCL-PGlike(12:0_21:0)-H,889.521268,152.995833,171.006398,199.170354,325.311204,661.481379,461.303749,335.162899,479.314314,353.173464,717.507593,797.473924,735.518158
DLCL-PGlike(12:0_22:0)-H,903.536918,152.995833,171.006398,199.170354,339.326854,675.497029,475.319399,335.162899,493.329964,353.173464,731.523243,811.489574,749.533808
DLCL-PGlike(12:0_22:1)-H,901.521268,152.995833,171.006398,199.170354,337.311204,673.481379,473.303749,335.162899,491.314314,353.173464,729.507593,809.473924,747.518158
DLCL-PGlike(12:0_22:2)-H,899.505618,152.995833,171.006398,199.170354,335.295554,671.465729,471.288099,335.162899,489.298664,353.173464,727.491943,807.458274,745.502508
DLCL-PGlike(12:0_22:3)-H,897.489968,152.995833,171.006398,199.170354,333.279904,669.450079,469.272449,335.162899,487.283014,353.173464,725.476293,805.442624,743.486858
DLCL-PGlike(12:0_22:4)-H,895.474318,152.995833,171.006398,199.170354,331.264254,667.434429,467.256799,335.162899,485.267364,353.173464,723.460643,803.426974,741.471208
DLCL-PGlike(12:0_22:5)-H,893.458668,152.995833,171.006398,199.170354,329.248604,665.418779,465.241149,335.162899,483.251714,353.173464,721.444993,801.411324,739.455558
DLCL-PGlike(12:0_22:6)-H,891.443018,152.995833,171.006398,199.170354,327.232954,663.403129,463.225499,335.162899,481.236064,353.173464,719.429343,799.395674,737.439908
DLCL-PGlike(12:0_23:0)-H,917.552568,152.995833,171.006398,199.170354,353.342504,689.512679,489.335049,335.162899,507.345614,353.173464,745.538893,825.505224,763.549458
DLCL-PGlike(12:0_24:0)-H,931.568218,152.995833,171.006398,199.170354,367.358154,703.528329,503.350699,335.162899,521.361264,353.173464,759.554543,839.520874,777.565108
DLCL-PGlike(12:0_24:1)-H,929.552568,152.995833,171.006398,199.170354,365.342504,701.512679,501.335049,335.162899,519.345614,353.173464,757.538893,837.505224,775.549458
DLCL-PGlike(12:0_25:0)-H,945.583868,152.995833,171.006398,199.170354,381.373804,717.543979,517.366349,335.162899,535.376914,353.173464,773.570193,853.536524,791.580758
DLCL-PGlike(12:0_26:0)-H,959.599518,152.995833,171.006398,199.170354,395.389454,731.559629,531.381999,335.162899,549.392564,353.173464,787.585843,867.552174,805.596408
DLCL-PGlike(13:0_8:0)-H,721.333467,152.995833,171.006398,213.186004,143.107753,493.293578,279.100298,349.178549,297.110863,367.189114,549.319792,629.286123,567.330357
DLCL-PGlike(13:0_10:0)-H,749.364768,152.995833,171.006398,213.186004,171.139054,521.324879,307.131599,349.178549,325.142164,367.189114,577.351093,657.317424,595.361658
DLCL-PGlike(13:0_12:0)-H,777.396068,152.995833,171.006398,213.186004,199.170354,549.356179,335.162899,349.178549,353.173464,367.189114,605.382393,685.348724,623.392958
DLCL-PGlike(13:0_13:0)-H,791.411718,152.995833,171.006398,213.186004,213.186004,563.371829,349.178549,349.178549,367.189114,367.189114,619.398043,699.364374,637.408608
DLCL-PGlike(13:0_14:0)-H,805.427368,152.995833,171.006398,213.186004,227.201654,577.387479,363.194199,349.178549,381.204764,367.189114,633.413693,713.380024,651.424258
DLCL-PGlike(13:0_14:1)-H,803.411718,152.995833,171.006398,213.186004,225.186004,575.371829,361.178549,349.178549,379.189114,367.189114,631.398043,711.364374,649.408608
