"MSDIAL_EtherOxPC","[M+HCOO]-","1","2","3","4","5","6","7","8"
"MSDIAL_PC O-18:0_18:2;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CC1OC1CCCCC;PPXTUYWTZONFNT-BXVZCJGGNA-N;C44H86NO8P","832.60731","295.2279","772.5856","832.6073","476.3499","494.3605","224.0693","1","1"
"MSDIAL_PC O-18:0_18:1;2O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CC(O)C(O)CCCCC;WFJOABMWJYXTSO-BXVZCJGGNA-N;C44H88NO9P","850.61787","313.2384","790.5962","277.2173","295.2279","850.6179","476.3499","494.3605","224.0693"
"MSDIAL_PC O-18:0_18:1;3O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCC(O)\C=C\C(O)C(O)CCCCC;JTEIPRRZCBMVNF-JEIPZWNWNA-N;C44H88NO10P","866.61279","329.2333","806.5911","293.2122","311.2228","866.6128","476.3499","494.3605","224.0693"
"MSDIAL_PC O-18:0_18:2;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C=C/C(O)CCCCC;GACTYBRYMJMQJH-SKBNUHFXNA-N;C44H86NO8P","832.60731","295.2279","772.5856","277.2173","832.6073","476.3499","494.3605","224.0693","1"
"MSDIAL_PC O-18:0_18:2;2O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C=C/C(CCCCC)OO;CEDPXFDOLIJFQE-SKBNUHFXNA-N;C44H86NO9P","848.60222","311.2228","788.5806","275.2017","293.2122","848.6022","476.3499","494.3605","224.0693"
"MSDIAL_PC O-18:0_18:3;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C\C=C\C(O)C\C=C\CC;ZKULNRNVBZQPOV-CTNRWWLNNA-N;C44H84NO8P","830.59166","293.2122","770.57","275.2017","830.5917","476.3499","494.3605","224.0693","1"
"MSDIAL_PC O-18:0_20:3;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C=C\C(O)CCCCCCCC;WMRMUGNXOYUHPM-RPIHBLCDNA-N;C46H88NO8P","858.62296","321.2435","798.6013","303.233","858.623","476.3499","494.3605","224.0693","1"
"MSDIAL_PC O-18:0_20:4;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/CC1OC1C\C=C\CCCCC;RWPCSMIEQFGRMR-JDWKEPDUNA-N;C46H86NO8P","856.60731","319.2279","796.5856","856.6073","476.3499","494.3605","224.0693","1","1"
"MSDIAL_PC O-18:0_20:3;2O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/CC(O)C(O)C\C=C\CCCCC;SPQMTHVAIGCRIY-JDWKEPDUNA-N;C46H88NO9P","874.61787","337.2384","814.5962","301.2173","319.2279","874.6179","476.3499","494.3605","224.0693"
"MSDIAL_PC O-18:0_20:4;2O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C\CC(O)\C=C/C1OC1C\C=C\CCCCC;RVUYOUZIRXUYPG-NXKCMUKVNA-N;C46H86NO9P","872.60222","335.2228","812.5806","317.2122","872.6022","476.3499","494.3605","224.0693","1"
"MSDIAL_PC O-18:0_20:3;3O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C(O)CC(O)C1\C=C\C(O)CCCCC;GEHMEZUJVIXCPS-VFFIVXFYNA-N;C46H88NO10P","890.61279","353.2333","830.5911","317.2122","335.2228","890.6128","476.3499","494.3605","224.0693"
"MSDIAL_PC O-18:0_20:3;4O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C(O)CC(O)OC1\C=C\C(O)CCCCC;KDDOOUINFIYLLH-VFFIVXFYNA-N;C46H88NO11P","906.60770","369.2283","846.5861","333.2072","351.2177","906.6077","476.3499","494.3605","224.0693"
"MSDIAL_PC O-18:0_20:4;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC(O)\C=C\C=C\C\C=C\C\C=C\CCCCC;QRHNZSBFRJXBHW-ONJZDTSBNA-N;C46H86NO8P","856.60731","319.2279","796.5856","301.2173","856.6073","476.3499","494.3605","224.0693","1"
"MSDIAL_PC O-18:0_20:5;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC1OC1\C=C/C=C\C=C\C\C=C\CCCCC;MKHRKUMCXMJEFJ-DHHRUTKENA-N;C46H84NO8P","854.59166","317.2122","794.57","854.5917","476.3499","494.3605","224.0693","1","1"
"MSDIAL_PC O-18:0_20:4;2O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC(O)\C=C\C=C\C=C\C(O)C\C=C\CCCCC;IKQGPMWNMVLVDX-LANKXQHFNA-N;C46H86NO9P","872.60222","335.2228","812.5806","299.2017","317.2122","872.6022","476.3499","494.3605","224.0693"
"MSDIAL_PC O-18:0_20:4;3O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC(O)C(O)\C=C/C=C\C=C\C=C/C(O)CCCCC;DZYRXJFESOJADN-QOYQIHGANA-N;C46H86NO10P","888.59714","351.2177","828.5754","315.1966","333.2072","888.5972","476.3499","494.3605","224.0693"
"MSDIAL_PC O-18:0_20:4;3O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(O)CCCCC;QYTVTFRLIUIWBP-VFFIVXFYNA-N;C46H86NO10P","888.59714","351.2177","828.5754","333.2072","888.5972","476.3499","494.3605","224.0693","1"
"MSDIAL_PC O-18:0_20:4;4O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C(O)CC(O)OC1\C=C\C(O)C\C=C/CC;XBJQFUXUTOZCDO-MKTBAZKENA-N;C46H86NO11P","904.59205","367.2126","844.5704","331.1915","349.2021","904.592","476.3499","494.3605","224.0693"
"MSDIAL_PC O-18:0_20:4;4O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(CCCCC)OO;HVQRRXXMNPFLEX-VFFIVXFYNA-N;C46H86NO11P","904.59205","367.2126","844.5704","331.1915","349.2021","904.592","476.3499","494.3605","224.0693"
"MSDIAL_PC O-18:0_20:5;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC(O)\C=C\C=C/C\C=C/C\C=C/C\C=C/CC;GKJPSTPDVHMNSU-QJUNXMRINA-N;C46H84NO8P","854.59166","317.2122","794.57","299.2017","854.5917","476.3499","494.3605","224.0693","1"
"MSDIAL_PC O-18:0_20:6;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC1OC1\C=C\C=C\C=C/C\C=C/C\C=C/CC;HUMBKCINTZGSER-BFIAJWFANA-N;C46H82NO8P","852.57601","315.1966","792.5543","852.576","476.3499","494.3605","224.0693","1","1"
"MSDIAL_PC O-18:0_20:5;2O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC(O)\C=C\C=C/C=C/C(O)C\C=C/C\C=C/CC;WTMANLWHJIOOPF-POLMGZIWNA-N;C46H84NO9P","870.58657","333.2071","810.5649","297.186","315.1966","870.5865","476.3499","494.3605","224.0693"
"MSDIAL_PC O-18:0_20:5;3O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC(O)\C=C\C=C/C=C/C(O)C\C=C/C=C/C(O)CC;CQLDFIVVOWCSIR-RSMWZLNWNA-N;C46H84NO10P","886.58149","349.2021","826.5598","313.1809","331.1915","886.5815","476.3499","494.3605","224.0693"
"MSDIAL_PC O-18:0_20:5;3O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(O)C\C=C/CC;GINYMPLUXFUOHA-MKTBAZKENA-N;C46H84NO10P","886.58149","349.2021","826.5598","331.1915","886.5815","476.3499","494.3605","224.0693","1"
"MSDIAL_PC O-18:0_20:5;4O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(C\C=C/CC)OO;MDAVMZJGMUMDIS-MKTBAZKENA-N;C46H84NO11P","902.57640","365.197","842.5547","329.1758","347.1864","902.5764","476.3499","494.3605","224.0693"
"MSDIAL_PC O-18:0_22:5;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C\C\C=C\C\C=C\C\C=C\C\C=C\CC1OC1CC;BDNRTLPRFSGRJY-PUGBTSHUNA-N;C48H86NO8P","880.60731","343.2279","820.5856","880.6073","476.3499","494.3605","224.0693","1","1"
"MSDIAL_PC O-18:0_22:5;2O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C\C\C=C\C\C=C\C\C=C\C\C=C\CC(O)C(O)CC;VPJPHJDNWJCUJO-PUGBTSHUNA-N;C48H88NO9P","898.61787","361.2384","838.5962","325.2173","343.2279","898.6179","476.3499","494.3605","224.0693"
"MSDIAL_PC O-18:0_22:6;O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C\C\C=C\C\C=C\C\C=C\C\C=C\C\C=C/C(C)O;ADDFWUPAWLBLLQ-HTWLFVCNNA-N;C48H86NO8P","880.60731","343.2279","820.5856","325.2173","880.6073","476.3499","494.3605","224.0693","1"
"MSDIAL_PC O-18:0_22:6;2O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C\C\C=C\C\C=C\C=C/C(O)C\C=C\C\C=C/C(C)O;XLKXKGCIQMKPTQ-UEUDXBCVNA-N;C48H86NO9P","896.60222","359.2228","836.5806","323.2017","341.2122","896.6022","476.3499","494.3605","224.0693"
"MSDIAL_PC O-18:0_22:6;3O;[M+HCOO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C\CC(O)\C=C\C=C\C=C/C=C/C(O)C(O)C\C=C/CC;ZCFGQXLBJMWQDK-PZKASVOGNA-N;C48H86NO10P","912.59714","375.2177","852.5754","339.1966","357.2072","912.5972","476.3499","494.3605","224.0693"
